dateTime,spotID,lat,long,speed,dist,station
2018-07-05T22:58:06Z,0-2572498,48.36146,-126.75345,0.216163591,0.116007794,1
2018-07-05T22:59:26Z,0-2573760,48.36147,-126.75351,0.206239321,0.004583096,1
2018-07-05T23:25:04Z,0-2572498,48.36211,-126.75444,0.231882125,0.099065197,1
2018-07-05T23:29:22Z,0-2573760,48.36222,-126.75464,0.268130833,0.019216043,1
2018-07-05T23:54:55Z,0-2572498,48.36303,-126.75528,0.239042568,0.101792293,1
2018-07-05T23:55:21Z,0-2573760,48.36304,-126.75529,0.185019589,0.001336253,1
2018-07-06T00:24:30Z,0-2572498,48.36395,-126.75614,0.245332371,0.119190643,1
2018-07-06T00:28:55Z,0-2573760,48.36411,-126.75601,0.274849283,0.020231961,1
2018-07-06T00:54:30Z,0-2572498,48.36468,-126.75708,0.238059887,0.101506091,1
2018-07-06T00:56:35Z,0-2573760,48.36477,-126.75699,0.346353219,0.012026153,1
2018-07-06T01:24:21Z,0-2572498,48.3657,-126.75789,0.265896801,0.123051131,1
2018-07-06T01:25:59Z,0-2573760,48.36572,-126.75792,0.115508256,0.003144391,1
2018-07-06T01:55:54Z,0-2572498,48.36655,-126.75873,0.220797527,0.1100921,1
2018-07-06T01:56:10Z,0-2573760,48.36663,-126.75875,2.02913603,0.009018382,1
2018-07-06T02:24:15Z,0-2572498,48.36715,-126.75952,0.173550197,0.081231134,1
2018-07-06T02:25:35Z,0-2573760,48.36717,-126.75961,0.316330071,0.007029557,1
2018-07-06T02:55:57Z,0-2572498,48.36747,-126.76073,0.176718931,0.089439414,1
2018-07-06T02:56:10Z,0-2573760,48.36745,-126.76073,0.615862888,0.002223949,1
2018-07-06T03:24:02Z,0-2572498,48.36803,-126.76193,0.236498495,0.109840412,1
2018-07-06T03:26:53Z,0-2573760,48.36807,-126.76204,0.195472384,0.009284938,1
2018-07-06T03:55:36Z,0-2572498,48.36843,-126.7632,0.198099918,0.094812822,1
2018-07-06T03:56:29Z,0-2573760,48.36844,-126.76316,0.215010853,0.003165438,1
2018-07-06T04:23:45Z,0-2572498,48.36893,-126.76375,0.153715633,0.069855215,1
2018-07-06T04:26:29Z,0-2573760,48.36895,-126.76385,0.169809086,0.007735747,1
2018-07-06T04:55:33Z,0-2572498,48.3693,-126.76469,0.151521637,0.073403815,1
2018-07-06T04:57:07Z,0-2573760,48.36938,-126.7648,0.462054232,0.012064749,1
2018-07-06T05:23:36Z,0-2572498,48.36958,-126.76558,0.140289959,0.061922429,1
2018-07-06T05:27:07Z,0-2573760,48.36964,-126.76566,0.152265681,0.008924461,1
2018-07-06T05:53:18Z,0-2572498,48.37008,-126.76645,0.174815177,0.076287401,1
2018-07-06T05:54:04Z,0-2573760,48.37011,-126.76649,0.349216583,0.004462212,1
2018-07-06T06:24:58Z,0-2572498,48.3707,-126.76758,0.202035243,0.10404815,1
2018-07-06T06:27:00Z,0-2573760,48.37073,-126.76765,0.181961739,0.006166481,1
2018-07-06T06:52:37Z,0-2572498,48.37147,-126.7684,0.232561186,0.099290706,1
2018-07-06T06:57:26Z,0-2573760,48.37153,-126.76847,0.105264955,0.008450437,1
2018-07-06T07:22:20Z,0-2572498,48.3721,-126.76903,0.182540164,0.075754168,1
2018-07-06T07:27:26Z,0-2573760,48.37213,-126.76907,0.052495705,0.004462135,1
2018-07-06T07:52:25Z,0-2572498,48.37275,-126.76974,0.204023085,0.084952946,1
2018-07-06T07:57:26Z,0-2573760,48.37295,-126.76976,0.266577246,0.02228882,1
2018-07-06T08:22:25Z,0-2572498,48.37331,-126.77034,0.141039305,0.0587272,1
2018-07-06T08:53:40Z,0-2572498,48.37397,-126.77072,0.150921059,0.078604718,1
2018-07-06T08:57:08Z,0-2573760,48.37403,-126.77066,0.138755717,0.008016997,1
2018-07-06T09:21:51Z,0-2572498,48.37422,-126.77139,0.140945818,0.058061847,1
2018-07-06T09:27:08Z,0-2573760,48.37419,-126.77156,0.147958971,0.013028609,1
2018-07-06T09:53:12Z,0-2572498,48.3746,-126.77214,0.144203847,0.06264856,1
2018-07-06T11:22:30Z,0-2572498,48.37684,-126.77428,0.199641926,0.297133734,1
2018-07-06T11:50:54Z,0-2572498,48.37779,-126.77448,0.225362738,0.106671696,1
2018-07-06T12:22:30Z,0-2572498,48.3786,-126.77505,0.188879154,0.099476354,1
2018-07-06T12:52:37Z,0-2572498,48.37938,-126.77595,0.217945794,0.109396681,1
2018-07-06T13:22:37Z,0-2572498,48.38015,-126.77664,0.199435699,0.09971785,1
2018-07-06T13:50:44Z,0-2572498,48.38101,-126.77719,0.221818993,0.103946845,1
2018-07-06T13:56:38Z,0-2573760,48.38144,-126.77721,0.486487836,0.047837971,1
2018-07-06T14:20:30Z,0-2572498,48.38174,-126.77795,0.161314613,0.064167368,1
2018-07-06T14:54:20Z,0-2572498,48.38256,-126.77847,0.175537849,0.098983843,1
2018-07-06T14:55:56Z,0-2573760,48.38243,-126.77856,0.596956578,0.015918842,1
2018-07-06T15:22:36Z,0-2572498,48.38177,-126.77969,0.250470628,0.111320279,1
2018-07-06T15:26:14Z,0-2573760,48.38296,-126.77933,2.229117338,0.134985439,1
2018-07-06T15:50:13Z,0-2572498,48.38326,-126.78023,0.186491727,0.074544888,1
2018-07-06T16:23:06Z,0-2572498,48.38456,-126.78122,0.295759078,0.162092406,1
2018-07-06T16:51:30Z,0-2572498,48.38519,-126.78207,0.198988947,0.094188102,1
2018-07-06T17:20:11Z,0-2572498,48.38559,-126.78268,0.132623718,0.063401505,1
2018-07-06T17:50:00Z,0-2572498,48.38608,-126.78319,0.1334158,0.066300241,1
2018-07-06T18:20:00Z,0-2572498,48.38647,-126.78345,0.094901085,0.047450543,1
2018-07-06T18:25:53Z,0-2573760,48.3868,-126.78365,0.403571271,0.039572405,1
2018-07-06T18:50:17Z,0-2572498,48.38689,-126.78369,0.025665035,0.010437114,1
2018-07-06T19:22:56Z,0-2572498,48.38777,-126.78375,0.180009123,0.097954964,1
2018-07-06T19:25:38Z,0-2573760,48.38786,-126.78377,0.224818634,0.010116839,1
2018-07-06T19:49:26Z,0-2572498,48.38847,-126.78409,0.181139567,0.071852028,1
2018-07-06T20:22:07Z,0-2572498,48.38923,-126.78409,0.15514401,0.08451039,1
2018-07-06T20:52:07Z,0-2572498,48.39005,-126.78392,0.184094842,0.092047421,1
2018-07-06T21:18:58Z,0-2572498,48.39056,-126.78371,0.131407633,0.058804916,1
2018-07-06T21:52:33Z,0-2572498,48.39095,-126.78337,0.08959346,0.05014745,1
2018-07-06T22:22:33Z,0-2572498,48.39095,-126.78328,0.013330762,0.006665381,1
2018-07-06T22:51:23Z,0-2572498,48.39092,-126.78362,0.052856219,0.02540035,1
2018-07-06T23:18:22Z,0-2572498,48.39109,-126.78369,0.043586065,0.019601622,1
2018-07-06T23:52:05Z,0-2572498,48.39146,-126.78371,0.073263269,0.041169887,1
2018-07-07T00:20:44Z,0-2572498,48.39146,-126.7838,0.013958774,0.006665314,1
2018-07-07T00:48:11Z,0-2572498,48.392,-126.78409,0.139392736,0.063772177,1
2018-07-07T01:50:34Z,0-2572498,48.39335,-126.78542,0.172686291,0.179545774,1
2018-07-07T02:20:34Z,0-2572498,48.39382,-126.78611,0.146184741,0.073092371,1
2018-07-07T02:50:34Z,0-2572498,48.39442,-126.78688,0.175533039,0.087766519,1
2018-07-07T03:19:44Z,0-2572498,48.39486,-126.78802,0.200726404,0.097575335,1
2018-07-07T03:49:49Z,0-2572498,48.39544,-126.78969,0.278180831,0.139476778,1
2018-07-07T04:20:07Z,0-2572498,48.39611,-126.79085,0.225165753,0.113708705,1
2018-07-07T04:49:45Z,0-2572498,48.39723,-126.79173,0.28459888,0.140560225,1
2018-07-07T05:17:19Z,0-2572498,48.39822,-126.7924,0.262816309,0.120749493,1
2018-07-07T05:49:49Z,0-2572498,48.39941,-126.79263,0.2463087,0.133417212,1
2018-07-07T06:20:22Z,0-2572498,48.40007,-126.79349,0.190835094,0.097166869,1
2018-07-07T06:22:54Z,0-2573760,48.40011,-126.79353,0.126564681,0.005343842,1
2018-07-07T06:46:57Z,0-2572498,48.40065,-126.7937,0.153061635,0.061352205,1
2018-07-07T06:52:55Z,0-2573760,48.40312,-126.79385,2.76419527,0.274883863,1
2018-07-07T07:17:11Z,0-2572498,48.40119,-126.79362,0.53230311,0.215287036,1
2018-07-07T07:49:29Z,0-2572498,48.40158,-126.79369,0.081131714,0.043675906,1
2018-07-07T07:52:55Z,0-2573760,48.40175,-126.79359,0.354793734,0.020302086,1
2018-07-07T08:18:21Z,0-2572498,48.40188,-126.79369,0.038316029,0.016241739,1
2018-07-07T10:16:01Z,0-2572498,48.40239,-126.79475,0.049375527,0.096830895,1
2018-07-07T13:50:42Z,0-2573760,48.40295,-126.79501,0.018216269,0.065178821,1
2018-07-07T16:50:02Z,0-2573760,48.40313,-126.80045,0.134928673,0.40328681,1
2018-07-07T17:19:53Z,0-2573760,48.40365,-126.80122,0.163221628,0.08120276,1
2018-07-07T17:49:45Z,0-2573760,48.40408,-126.80203,0.154087376,0.076701272,1
2018-07-07T18:19:33Z,0-2573760,48.40423,-126.80278,0.116741134,0.05798143,1
2018-07-07T18:45:51Z,0-2573760,48.40477,-126.80388,0.230844675,0.101186916,1
2018-07-07T19:18:35Z,0-2573760,48.40563,-126.80484,0.218404898,0.119152005,1
2018-07-07T19:45:09Z,0-2573760,48.40659,-126.80525,0.250650205,0.110982341,1
2018-07-07T20:15:09Z,0-2573760,48.40723,-126.80534,0.142956255,0.071478127,1
2018-07-07T20:44:51Z,0-2573760,48.40756,-126.80563,0.085889065,0.042515087,1
2018-07-07T21:17:35Z,0-2573760,48.40778,-126.80611,0.079081535,0.043143371,1
2018-07-07T21:46:36Z,0-2573760,48.40805,-126.80679,0.121206349,0.058616737,1
2018-07-07T22:16:36Z,0-2573760,48.40839,-126.80765,0.148097961,0.074048981,1
2018-07-07T22:48:31Z,0-2573760,48.40892,-126.80798,0.11993424,0.063798353,1
2018-07-07T23:18:31Z,0-2573760,48.40943,-126.8078,0.116511519,0.05825576,1
2018-07-07T23:48:17Z,0-2573760,48.40996,-126.80827,0.137953341,0.068440185,1
2018-07-08T00:18:17Z,0-2573760,48.41047,-126.80896,0.152650178,0.076325089,1
2018-07-08T00:44:27Z,0-2573760,48.41108,-126.8096,0.189722054,0.082739896,1
2018-07-08T01:15:23Z,0-2573760,48.41223,-126.81018,0.261647971,0.134894065,1
2018-07-08T01:45:23Z,0-2573760,48.41322,-126.81069,0.23276082,0.11638041,1
2018-07-08T02:15:23Z,0-2573760,48.41408,-126.81155,0.229766826,0.114883413,1
2018-07-08T02:46:17Z,0-2573760,48.41494,-126.81212,0.202962285,0.104525577,1
2018-07-08T03:17:35Z,0-2573760,48.41552,-126.81285,0.161292684,0.084141017,1
2018-07-08T03:43:56Z,0-2573760,48.41584,-126.81328,0.108711689,0.04774255,1
2018-07-08T04:13:48Z,0-2573760,48.41616,-126.81387,0.113172198,0.056334605,1
2018-07-08T04:46:59Z,0-2573760,48.41624,-126.81502,0.154758714,0.085590167,1
2018-07-08T05:13:32Z,0-2573760,48.41621,-126.81599,0.162440371,0.071879864,1
2018-07-08T05:43:21Z,0-2573760,48.41613,-126.81765,0.247915191,0.123200077,1
2018-07-08T06:13:21Z,0-2573760,48.41596,-126.81928,0.244259901,0.122129951,1
2018-07-08T06:43:21Z,0-2573760,48.41605,-126.82091,0.24214503,0.121072515,1
2018-07-08T07:15:22Z,0-2573760,48.41631,-126.82265,0.247381107,0.132005308,1
2018-07-08T07:43:15Z,0-2573760,48.41678,-126.82388,0.225902057,0.104981706,1
2018-07-08T08:14:59Z,0-2573760,48.41734,-126.8246,0.154974335,0.081964204,1
2018-07-08T08:45:05Z,0-2573760,48.41783,-126.82533,0.152965663,0.076737774,1
2018-07-08T09:12:49Z,0-2573760,48.41812,-126.82615,0.14869787,0.06873146,1
2018-07-08T09:42:49Z,0-2573760,48.41842,-126.82701,0.143737436,0.071868718,1
2018-07-08T10:14:30Z,0-2573760,48.41883,-126.82803,0.167023423,0.088197646,1
2018-07-08T10:42:40Z,0-2573760,48.41881,-126.82858,0.086850185,0.040771337,1
2018-07-08T11:13:52Z,0-2573760,48.41913,-126.82881,0.075858407,0.039446372,1
2018-07-08T11:42:26Z,0-2573760,48.41935,-126.8286,0.060876997,0.028984215,1
2018-07-08T12:14:28Z,0-2573760,48.41918,-126.82903,0.069337613,0.037018581,1
2018-07-08T12:45:55Z,0-2573760,48.41918,-126.82983,0.112969892,0.059215052,1
2018-07-08T13:13:28Z,0-2573760,48.41938,-126.83044,0.109614709,0.050331421,1
2018-07-08T13:44:34Z,0-2573760,48.41974,-126.83136,0.152395599,0.078991719,1
2018-07-08T14:15:29Z,0-2573760,48.42034,-126.83235,0.19232544,0.099101026,1
