"dateTime","lat.x","long","station","BB_20.24000","TOL_63","TOL_125","TOL_2000","TOL_5000","TOL_20000","species","BWpresence","Latitude","Longitude","UTC","sst_mean","dist_slope","depth","slope","dist_shore","chlorophyll_mean","ssh_mean","mldDepth","mldTemp","ttDepth","ttTemp","temp400","sal400"
2018-09-13 13:00:00,35.8402,-126.8315,8,99.921037,88.322917,86.036803,84.223421,80.786782,72.510714,NA,0,35.8402,-126.8315,2018-09-13 13:00:00,18.592,329141.215758131,4799,0.0338609618292365,415,0.111281909048557,0.0358,37.7777776341725,17.2939999094699,52.562597586084,14.4534997650539,5.93199933180586,34.0940006694291
2018-09-13 13:20:00,35.83988,-126.83119,8,98.102163,87.122456,81.532302,81.168027,77.845712,71.716492,NA,0,35.83988,-126.83119,2018-09-13 13:20:00,18.592,329141.215758131,4793,0.0338609618292365,415,0.111281909048557,0.0358,37.7777776341725,17.2939999094699,52.562597586084,14.4534997650539,5.93199933180586,34.0940006694291
2018-09-13 14:00:00,35.8395,-126.82996,8,97.726445,87.048499,81.349811,81.332495,78.433628,72.37911,NA,0,35.8395,-126.82996,2018-09-13 14:00:00,18.592,329141.215758131,4807,0.0338609618292365,415,0.111281909048557,0.0358,38.1799161590044,17.2849999090424,53.4711386232569,14.4519997649826,5.9529993328033,34.0920006693341
2018-09-13 14:20:00,35.8392,-126.82808,8,98.376491,86.399171,83.258099,81.265789,78.456737,72.385516,NA,0,35.8392,-126.82808,2018-09-13 14:20:00,18.592,329141.215758131,4807,0.0338609618292365,415,0.111281909048557,0.0358,38.1799161590044,17.2849999090424,53.4711386232569,14.4519997649826,5.9529993328033,34.0920006693341
2018-09-13 15:00:00,35.83851,-126.8257,8,98.297529,86.919531,82.985347,80.244438,77.213955,71.285586,NA,0,35.83851,-126.8257,2018-09-13 15:00:00,18.592,329141.215758131,4798,0.0338609618292365,415,0.111281909048557,0.0358,38.1799161590044,17.2849999090424,53.4711386232569,14.4519997649826,5.9529993328033,34.0920006693341
2018-09-13 15:20:00,35.83766,-126.8231,8,98.379805,87.737225,83.363907,80.087475,77.322502,71.382665,NA,0,35.83766,-126.8231,2018-09-13 15:20:00,18.585,329141.215758131,4798,0.0338609618292365,414,0.111281909048557,0.0358,38.1799161590044,17.2849999090424,53.4711386232569,14.4519997649826,5.9529993328033,34.0920006693341
2018-09-13 16:00:00,35.83669,-126.82069,8,99.062233,85.92108,81.412844,78.835099,75.847254,69.874697,NA,0,35.83669,-126.82069,2018-09-13 16:00:00,18.585,329141.215758131,4777,0.0338609618292365,414,0.111281909048557,0.0358,38.1799161590044,17.2849999090424,53.4711386232569,14.4519997649826,5.9529993328033,34.0920006693341
2018-09-13 16:20:00,35.83548,-126.8183,8,99.894811,85.76145,81.672529,78.661121,75.654381,69.68691,NA,0,35.83548,-126.8183,2018-09-13 16:20:00,18.585,329141.215758131,4753,0.0338609618292365,414,0.111281909048557,0.0358,38.1799161590044,17.2849999090424,53.4711386232569,14.4519997649826,5.9529993328033,34.0920006693341
2018-09-13 17:00:00,35.83379,-126.81644,8,98.584026,86.263084,82.614661,76.995996,73.350829,67.194801,NA,0,35.83379,-126.81644,2018-09-13 17:00:00,18.6,329141.215758131,4761,0.0271528496433192,415,0.111281909048557,0.0358,38.0722365622369,17.3409999117022,53.5539792868521,14.49699976712,5.96499933337327,34.0910006692866
2018-09-13 17:20:00,35.8318,-126.81475,8,97.744431,86.549242,82.855487,77.486677,74.174605,68.15383,NA,0,35.8318,-126.81475,2018-09-13 17:20:00,18.596,332778.661633931,4761,0.034364628324265,414,0.106065079569817,0.0358,38.0722365622369,17.3409999117022,53.5539792868521,14.49699976712,5.96499933337327,34.0910006692866
