"dateTime","TOL_25","TOL_31.5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL_16000","TOL_20000"
2018-08-16 15:00:00,90.976549,89.34673,89.565192,89.404124,88.791073,88.662276,84.910118,82.003183,80.974103,79.043823,80.731905,79.680475,80.131652,80.628869,79.950056,79.776433,79.498065,78.778367,77.878843,77.28738,76.749532,76.3965,75.495758,74.580358,73.960661,73.449677,72.482756,71.450565,71.540446,69.036781
2018-08-16 15:20:00,89.747357,88.672951,88.167546,88.890942,87.376752,86.956505,85.050068,83.127616,86.843088,83.248101,98.48798,83.484925,86.043747,86.215414,85.445942,81.782204,82.895802,81.966136,80.066391,79.162674,77.748356,77.070144,76.160561,74.939957,74.124143,73.616902,72.586137,71.699007,71.721527,69.238677
2018-08-16 15:40:00,88.465676,88.838072,88.954034,89.683526,88.639361,88.98541,85.793035,84.12628,82.791184,80.390416,92.897606,80.618602,81.98386,81.903482,81.428577,80.804593,80.00178,79.374942,78.406801,77.960149,77.012702,76.261544,75.206307,73.860297,73.024879,72.461953,71.37886,70.424539,70.463492,67.972377
2018-08-16 16:00:00,88.805776,88.986267,90.938625,91.110804,90.010873,91.437702,88.484371,85.27129,83.629699,79.918365,90.312072,78.882918,78.386129,77.056338,76.433107,76.273939,75.881109,75.483065,75.186779,74.355139,73.908441,73.712567,72.990565,71.992607,71.289958,70.738841,69.709262,68.855829,68.879013,66.468402
2018-08-16 16:20:00,87.735398,91.267532,89.6417,92.002304,91.79874,93.948584,89.57,85.916073,83.180404,81.155745,90.321006,79.610771,79.165948,77.624739,76.599066,74.962835,73.704257,72.844225,71.734362,70.665561,69.767195,68.990916,68.109672,67.071823,66.194237,65.468758,64.520077,63.769563,63.931712,61.587002
2018-08-16 16:40:00,89.177397,90.262179,92.49136,92.700685,90.412475,90.14561,90.580153,86.248038,84.175086,82.465842,97.579273,81.223782,81.770646,82.011974,80.674504,78.718897,78.198585,77.653751,76.368006,75.311588,72.658429,68.834347,65.194857,61.260506,58.017105,56.158334,55.288209,55.10478,55.668906,54.501472
2018-08-16 17:00:00,88.647624,91.083897,89.490408,92.351038,90.969861,88.651592,88.847188,82.672647,81.474857,77.963294,91.627139,77.712974,76.438378,76.210586,74.924937,71.939568,70.548037,69.41424,67.835717,66.213943,64.192126,62.136082,60.037768,57.577346,55.566114,54.690564,54.582454,54.649375,54.860011,53.952501
2018-08-16 17:20:00,86.959522,90.317393,89.983124,91.410452,90.286976,87.823071,87.901002,81.315655,80.026346,76.720139,81.447021,74.871618,73.930161,73.679767,75.332104,71.286639,69.987076,68.821503,67.204599,65.02052,62.465414,60.718447,58.866211,56.980612,55.156341,54.059896,54.373507,54.480419,54.712785,53.812387
2018-08-16 17:40:00,89.034333,90.11031,89.700675,90.822511,89.546297,87.747134,85.986292,82.042951,80.270443,77.074045,80.636587,76.079104,75.285645,74.529197,76.081223,72.383429,70.517354,69.082945,67.090908,65.089238,63.122836,61.214737,59.468241,57.611867,55.909092,54.812001,54.272815,54.27991,54.924777,53.98127
2018-08-16 18:00:00,87.543283,87.526907,87.618512,89.205065,88.351606,86.192123,83.618117,80.759328,79.269557,76.75078,78.849333,76.358892,75.79804,73.67503,72.810433,71.390842,69.683236,68.577834,67.146909,65.633345,63.966215,62.864359,61.760048,60.643225,59.833708,59.288818,58.547855,57.924899,58.343775,56.564022
