yyyy-mm-ddTHH:MM:SSZ, BB_20-24000 
2018-08-24T15:44:55.000Z, 101.755795
2018-08-24T16:04:55.000Z, 103.337780
2018-08-24T16:24:55.000Z, 102.505224
2018-08-24T16:44:55.000Z, 105.484871
2018-08-24T17:04:55.000Z, 111.022044
2018-08-24T17:24:55.000Z, 112.545453
2018-08-24T17:44:55.000Z, 107.324373
2018-08-24T18:04:55.000Z, 104.502665
2018-08-24T18:24:55.000Z, 105.946078
2018-08-24T18:44:55.000Z, 105.713817
2018-08-24T19:04:55.000Z, 104.401601
2018-08-24T19:24:55.000Z, 103.553744
2018-08-24T19:44:55.000Z, 103.356215
2018-08-24T20:04:55.000Z, 104.810781
2018-08-24T20:24:55.000Z, 103.396549
2018-08-24T20:44:55.000Z, 103.606284
2018-08-24T21:04:55.000Z, 103.863987
2018-08-24T21:24:55.000Z, 101.704042
2018-08-24T21:44:55.000Z, 103.234981
2018-08-24T22:04:55.000Z, 104.629578
2018-08-24T22:24:55.000Z, 102.642155
2018-08-24T22:44:55.000Z, 103.212369
2018-08-24T23:04:55.000Z, 102.483969
2018-08-24T23:24:55.000Z, 103.499906
2018-08-24T23:44:55.000Z, 103.999604
2018-08-25T00:04:55.000Z, 104.453045
2018-08-25T00:24:55.000Z, 103.728264
2018-08-25T00:44:55.000Z, 103.076941
2018-08-25T01:04:55.000Z, 103.614479
2018-08-25T01:24:55.000Z, 103.266252
2018-08-25T01:44:55.000Z, 103.082690
2018-08-25T02:04:55.000Z, 102.262247
2018-08-25T02:24:55.000Z, 102.242819
2018-08-25T02:44:55.000Z, 103.170630
2018-08-25T03:04:55.000Z, 103.244864
2018-08-25T03:24:55.000Z, 102.494640
2018-08-25T03:44:55.000Z, 103.033524
2018-08-25T04:04:55.000Z, 103.138867
2018-08-25T04:24:55.000Z, 103.313869
2018-08-25T04:44:55.000Z, 103.719350
2018-08-25T05:04:55.000Z, 104.367251
2018-08-25T05:24:55.000Z, 102.649807
2018-08-25T05:44:55.000Z, 103.098725
2018-08-25T06:04:55.000Z, 103.561476
2018-08-25T06:24:55.000Z, 103.691734
2018-08-25T06:44:55.000Z, 103.649791
2018-08-25T07:04:55.000Z, 104.320529
2018-08-25T07:24:55.000Z, 103.711362
2018-08-25T07:44:55.000Z, 103.132704
2018-08-25T08:04:55.000Z, 102.495925
2018-08-25T08:24:55.000Z, 103.281221
2018-08-25T08:44:55.000Z, 103.153873
2018-08-25T09:04:55.000Z, 103.680809
2018-08-25T09:24:55.000Z, 103.316030
