dateTime,spotID,lat,long,speed,dist,station,TOL_25,TOL_31.5,TOL_40,TOL_50,TOL_63,TOL_80,TOL_100,TOL_125,TOL_160,TOL_200,TOL_250,TOL_315,TOL_400,TOL_500,TOL_630,TOL_800,TOL_1000,TOL_1250,TOL_1600,TOL_2000,TOL_2500,TOL_3150,TOL_4000,TOL_5000,TOL_6300,TOL_8000,TOL_10000,TOL_12500,TOL_16000,TOL_20000
2018-08-16T14:20:00Z,0-2571609,38.86262,-126.74125,1.206831526,0.55111973,8,84.775565,86.056325,88.206418,88.558991,88.345362,86.63199,82.596672,81.150584,79.803417,77.802697,84.067441,77.601057,76.803864,75.688849,74.395209,73.683164,72.001052,71.07494,70.076716,68.944616,67.869753,67.026309,65.546198,63.892705,62.573438,61.907675,61.460299,61.2181,59.912539,57.651972
2018-08-16T15:00:00Z,0-2571609,38.8567,-126.74245,1.37608338,0.574897056,8,90.976549,89.34673,89.565192,89.404124,88.791073,88.662276,84.910118,82.003183,80.974103,79.043823,80.731905,79.680475,80.131652,80.628869,79.950056,79.776433,79.498065,78.778367,77.878843,77.28738,76.749532,76.3965,75.495758,74.580358,73.960661,73.449677,72.482756,71.450565,71.540446,69.036781
2018-08-16T15:20:00Z,0-2571609,38.84988,-126.74382,1.518995977,0.697894263,8,89.747357,88.672951,88.167546,88.890942,87.376752,86.956505,85.050068,83.127616,86.843088,83.248101,98.48798,83.484925,86.043747,86.215414,85.445942,81.782204,82.895802,81.966136,80.066391,79.162674,77.748356,77.070144,76.160561,74.939957,74.124143,73.616902,72.586137,71.699007,71.721527,69.238677
2018-08-16T16:00:00Z,0-2571609,38.84305,-126.74525,1.743951204,0.710660116,8,88.805776,88.986267,90.938625,91.110804,90.010873,91.437702,88.484371,85.27129,83.629699,79.918365,90.312072,78.882918,78.386129,77.056338,76.433107,76.273939,75.881109,75.483065,75.186779,74.355139,73.908441,73.712567,72.990565,71.992607,71.289958,70.738841,69.709262,68.855829,68.879013,66.468402
2018-08-16T16:20:00Z,0-2571609,38.83546,-126.74789,1.676062421,0.721172414,8,87.735398,91.267532,89.6417,92.002304,91.79874,93.948584,89.57,85.916073,83.180404,81.155745,90.321006,79.610771,79.165948,77.624739,76.599066,74.962835,73.704257,72.844225,71.734362,70.665561,69.767195,68.990916,68.109672,67.071823,66.194237,65.468758,64.520077,63.769563,63.931712,61.587002
2018-08-16T17:00:00Z,0-2571609,38.82856,-126.75066,1.692142111,0.753943318,8,88.647624,91.083897,89.490408,92.351038,90.969861,88.651592,88.847188,82.672647,81.474857,77.963294,91.627139,77.712974,76.438378,76.210586,74.924937,71.939568,70.548037,69.41424,67.835717,66.213943,64.192126,62.136082,60.037768,57.577346,55.566114,54.690564,54.582454,54.649375,54.860011,53.952501
2018-08-16T17:20:00Z,0-2571609,38.82138,-126.75377,1.644543948,0.753749309,8,86.959522,90.317393,89.983124,91.410452,90.286976,87.823071,87.901002,81.315655,80.026346,76.720139,81.447021,74.871618,73.930161,73.679767,75.332104,71.286639,69.987076,68.821503,67.204599,65.02052,62.465414,60.718447,58.866211,56.980612,55.156341,54.059896,54.373507,54.480419,54.712785,53.812387
2018-08-16T18:00:00Z,0-2571609,38.81558,-126.75691,1.428045654,0.59065555,8,87.543283,87.526907,87.618512,89.205065,88.351606,86.192123,83.618117,80.759328,79.269557,76.75078,78.849333,76.358892,75.79804,73.67503,72.810433,71.390842,69.683236,68.577834,67.146909,65.633345,63.966215,62.864359,61.760048,60.643225,59.833708,59.288818,58.547855,57.924899,58.343775,56.564022
2018-08-16T18:20:00Z,0-2571609,38.80956,-126.76114,1.460678162,0.675157906,8,87.356972,86.605508,87.461834,89.427715,88.075727,86.874744,82.892773,79.281532,78.508927,76.036176,77.77726,75.628432,74.979218,73.42318,72.08669,70.657013,69.436378,68.59875,66.789109,64.94731,62.445111,60.946759,59.362013,57.898793,56.706253,55.862887,55.264981,55.182533,55.895618,54.726868
2018-08-16T19:00:00Z,0-2571609,38.80411,-126.76552,1.255545293,0.577202072,8,85.449427,86.171487,87.098588,89.58294,89.02859,87.105387,83.56622,80.871084,78.170269,75.758554,78.422605,75.277144,75.106123,74.394207,74.133733,73.818753,73.891695,73.661349,73.170385,72.730907,72.129168,72.05934,71.493726,70.630107,69.960569,69.492214,68.628454,67.568922,67.550039,65.05346
2018-08-16T19:20:00Z,0-2571609,38.7986,-126.77061,1.507908414,0.655102433,8,86.271909,87.247997,87.779103,89.492098,88.201621,86.588566,82.806449,80.255788,82.061398,77.74539,93.958051,77.116721,77.854893,78.161054,77.726385,76.755133,76.811159,76.156665,75.596604,74.894783,74.369835,74.212753,73.50259,72.730726,72.14722,71.766144,70.893626,69.932949,69.890265,67.474925
2018-08-16T19:40:00Z,0-2571609,38.79379,-126.77498,1.368318422,0.596738867,8,87.152703,85.573362,86.611109,87.744779,86.820958,84.87566,82.060904,79.980791,77.503764,75.16848,75.502923,74.380606,74.457717,74.830467,74.806105,74.670509,74.669337,74.332408,73.865037,73.418506,72.842227,72.707718,72.126592,71.390268,70.81862,70.407953,69.493295,68.526172,68.530756,66.102587
2018-08-16T20:20:00Z,0-2571609,38.78911,-126.77969,1.316918029,0.541399634,8,85.344161,85.868283,87.391036,88.48879,88.237391,85.88191,83.216542,79.891992,78.575764,76.601333,79.120466,75.98021,75.724465,75.03738,75.516267,73.38265,72.416002,71.667636,70.780242,69.644616,68.392614,67.555058,66.115008,64.518729,62.914691,61.458922,59.951338,59.043278,59.227567,57.210657
2018-08-16T20:40:00Z,0-2571609,38.78487,-126.78381,1.213099825,0.519274119,8,87.909191,86.990955,87.601999,88.612641,86.64357,85.461087,83.273727,80.706386,78.12715,76.989603,76.487838,76.408223,76.573562,76.63311,80.913908,76.598599,76.647508,76.651815,76.312486,75.702282,75.352495,75.093472,74.483496,73.762192,73.247353,72.816777,71.937351,71.007228,71.01454,68.555081
2018-08-16T21:20:00Z,0-2571609,38.78054,-126.78824,1.199646504,0.492854772,8,92.596412,89.918973,88.633369,89.923967,88.001899,86.256444,83.574531,80.496089,81.799426,77.658615,87.500042,77.663568,78.910513,79.012394,79.361901,78.655071,78.493404,78.069451,77.6881,77.113386,76.632453,76.449633,75.85496,75.073843,74.54319,74.133089,73.237848,72.326358,72.262726,69.753004
2018-08-16T21:40:00Z,0-2571609,38.77655,-126.79269,1.221440201,0.521826397,8,92.713794,90.453849,89.012405,89.774238,88.221949,86.636594,83.36462,79.914034,77.664076,76.230822,75.874478,75.530215,75.827836,75.460654,75.700768,75.766881,75.862752,75.528249,75.035095,74.450674,73.867149,73.560143,72.84966,72.001257,71.377667,70.9582,70.036661,69.194446,69.199644,66.731592
2018-08-16T22:20:00Z,0-2571609,38.77256,-126.79681,1.147077389,0.490056951,8,95.223368,92.674359,90.998485,89.609222,89.095432,86.983991,83.77329,85.399584,81.403354,79.515397,81.583641,79.787264,79.849616,77.803615,77.389605,75.975305,75.336593,75.08403,74.482073,73.663425,73.054087,72.745543,72.192827,71.406629,70.901537,70.464573,69.34635,68.508786,68.905705,67.013429
2018-08-16T22:40:00Z,0-2571609,38.76915,-126.80013,0.976337909,0.396501673,8,95.623316,92.708744,91.167386,90.066317,88.390188,87.807153,82.457019,81.24799,78.916487,77.756039,77.635709,77.519877,77.625136,77.601637,76.913159,76.391231,75.759155,75.05514,74.237083,73.581795,72.805722,72.241673,71.608211,70.727468,70.081188,69.818969,68.814879,67.871139,67.875509,65.550234
2018-08-16T23:20:00Z,0-2571609,38.76563,-126.80284,0.879493692,0.387465832,8,95.071868,93.126274,91.157843,90.474448,88.61665,85.694994,83.148071,81.870681,78.868488,76.81554,76.121324,75.873653,77.651945,76.342065,76.619645,76.230008,75.993141,75.808826,75.473038,74.910764,74.488025,74.238174,73.511908,72.721616,72.169809,71.785376,70.820197,69.919662,69.983604,67.500077
2018-08-16T23:40:00Z,0-2571609,38.76209,-126.80437,0.85456786,0.341589764,8,97.934316,95.240689,92.38285,90.80107,87.040741,85.527993,83.631388,82.206055,79.120562,76.322415,75.080145,74.924419,75.250751,75.305872,75.727749,75.796942,75.660374,75.469997,75.069119,74.576259,74.099403,73.831203,73.07047,72.325556,71.7889,71.369943,70.39709,69.541249,69.498989,67.097395
2018-08-17T00:20:00Z,0-2571609,38.75859,-126.80501,0.769815062,0.334869552,8,93.142018,90.017172,88.757047,89.014535,87.266554,84.994408,81.75031,81.548948,78.61419,75.642991,77.297747,74.710033,75.4244,75.511618,75.960608,76.161283,76.075561,76.045228,75.465435,74.847563,74.409346,74.009398,73.369286,72.553635,72.016667,71.642273,70.717165,69.744298,69.822857,67.402414
2018-08-17T00:40:00Z,0-2571609,38.75468,-126.80519,0.919605723,0.341020455,8,92.682852,90.299942,89.906528,89.394594,87.737062,85.059546,82.017123,79.836906,78.490393,75.872967,79.279464,75.963377,77.120201,76.710947,76.682542,76.471901,76.267799,75.747089,75.091286,74.331205,73.613557,73.182068,72.396161,71.430411,70.764552,70.258901,69.315377,68.353917,68.338995,65.923601
2018-08-17T01:20:00Z,0-2571609,38.74987,-126.80505,1.036600809,0.453224909,8,92.959294,93.482681,90.815422,91.564993,89.311903,87.233288,83.322089,81.411137,78.749479,76.881341,77.646967,76.786129,77.31011,77.92301,78.591915,78.613682,78.635436,78.512345,78.275444,77.7168,77.167812,76.971121,76.277258,75.454589,74.827618,74.435033,73.643102,72.620181,72.509642,70.126131
2018-08-17T01:40:00Z,0-2571609,38.74488,-126.8045,1.17453792,0.485801934,8,94.879221,93.356348,93.327705,93.22212,91.879707,88.596969,85.095213,83.588458,80.708114,78.371652,78.357182,78.103407,78.868506,79.117123,80.278602,79.405995,79.154855,79.021837,78.677967,78.095769,77.651266,77.476967,76.734682,75.911357,75.325243,74.950443,74.033199,73.156365,73.057671,70.692442
2018-08-17T02:20:00Z,0-2571609,38.73903,-126.80374,1.205966892,0.499136297,8,96.754584,98.745263,99.816567,99.535658,93.759631,92.358163,90.217474,89.275031,84.98434,82.6359,83.66593,83.231287,84.923356,84.770978,83.391673,82.6518,82.17857,81.38473,80.400511,79.444388,78.694558,78.272914,77.470432,76.5998,75.955646,75.636588,74.754484,73.777822,73.729401,71.232159
2018-08-17T02:40:00Z,0-2571609,38.73252,-126.80295,1.520517812,0.602716366,8,96.716899,98.382452,98.644664,102.713564,101.195871,94.235784,90.22976,90.631969,85.958392,81.993192,81.949179,80.237316,81.451271,80.578331,80.021556,80.149414,79.837977,79.574329,78.964553,78.429675,77.947727,77.600091,76.897037,75.988865,75.446699,75.022522,74.175633,73.17996,73.04715,70.650005
2018-08-17T03:20:00Z,0-2571609,38.72495,-126.80208,1.632293874,0.71684906,8,93.053244,93.325816,92.156744,95.002983,93.055059,89.141924,85.10121,83.344151,81.217528,79.676176,78.868127,78.647942,78.659655,78.968811,79.230837,79.27835,79.404069,79.191654,78.862029,78.094778,77.658318,77.291733,76.624509,75.645691,75.13315,74.973052,74.35098,73.356379,73.039617,70.316943
2018-08-17T03:40:00Z,0-2571609,38.71754,-126.80157,1.720285396,0.679034874,8,92.163354,93.512558,92.450848,96.856824,94.710775,89.843738,85.197969,83.382786,80.909649,79.77409,78.883622,78.762024,78.990739,79.861525,79.773379,79.964653,79.789081,79.590785,79.216329,78.425342,77.807509,77.271352,76.56606,75.545923,74.79331,74.408667,73.471322,72.503965,72.336328,69.895962
2018-08-17T04:20:00Z,0-2571609,38.70893,-126.80165,1.906849002,0.810410826,8,94.592334,92.080252,90.393546,92.135337,90.171855,88.075473,86.148206,83.572046,80.41056,79.963885,79.314169,80.066607,81.273378,82.058361,82.735156,83.107261,83.273732999999993,83.256936,82.889437,82.149631,81.727254,81.42813,80.790245,79.878852,79.096668,78.649698,77.742477,76.787784,76.727476,74.218816
2018-08-17T04:40:00Z,0-2571609,38.70048,-126.80188,1.924452334,0.735033878,8,92.357768,90.206024,90.301176,93.069521,90.699422,88.629904,86.914719,84.811148,85.176419,80.86339,80.95144,81.426603,82.34834,83.17976,83.850781,84.265224,84.268204,84.249154,83.91692,83.219622,82.77324,82.452237,81.829903,80.979247,80.141297,79.637748,78.884536,78.170518,78.607056,77.658102
2018-08-17T05:20:00Z,0-2571609,38.69073,-126.80235,2.087731763,0.909903093,8,91.734175,90.085032,88.587298,89.83373,88.532529,86.664814,85.913595,85.055767,84.293847,81.307732,81.178021,81.948948,82.462179,83.186114,83.961692,84.558288,84.752357,84.695972,84.48097,83.867876999999993,83.341238,82.977192,82.490193,81.333894,80.469423,79.973716,79.11701,78.288585,78.454098,77.441633
2018-08-17T05:40:00Z,0-2571609,38.68204,-126.80331,1.792246557,0.738803859,8,92.116146,89.446639,89.620491,91.222736,88.936643,88.236827,88.181849,83.33276,79.992249,79.604778,80.138492,81.221971,82.181063,82.972326,83.921229,84.384759,84.579127,84.670792,84.385178,83.821116,83.367665,83.056945,82.416676,81.34668,80.593079,80.05818,79.199052,78.305902,78.28363,76.795235
2018-08-17T06:20:00Z,0-2571609,38.67256,-126.8049,2.062431929,0.87653357,8,94.059503,91.682457,90.357296,91.023783,87.929254,86.533615,85.386343,83.83475,80.851946,80.295877,80.19062,80.904025,82.297514,82.772198,83.081482,83.45661,83.508115,83.458845,83.050947,82.425843,81.90609,81.456776,80.811299,79.757595,78.696521,78.049585,77.059233,76.067497,75.974678,73.705448
